id,name,screen_name,fav_number,statuses_count,followers_count,friends_count,favourites_count,listed_count,created_at,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_banner_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,protected,verified,description,updated,dataset
3610511,Davide Dellacasa,braddd,0,20370,5470,2385,145,52,Fri Apr 06 10:58:22 +0000 2007,http://braddd.tumblr.com,it,Rome,Roma,,,,http://a0.twimg.com/profile_images/1575057050/Stay_hungry._Stay_foolish_Avatar_normal.png,https://si0.twimg.com/profile_banners/3610511/1357893323,1,https://si0.twimg.com/profile_background_images/205419579/suckerpunch_1024x768.jpg,0C3E53,https://si0.twimg.com/profile_images/1575057050/Stay_hungry._Stay_foolish_Avatar_normal.png,F2E195,,FFF7CC,http://a0.twimg.com/profile_background_images/205419579/suckerpunch_1024x768.jpg,BADFCD,FF0000,3600,,,Founder of http://www.screenweek.it & http://www.boxofficecup.com - Apple & Movie Lover find me on rebelmouse http://www.rebelmouse.com/davidedellacasa,2/14/2015 10:54,E13
5656162,Simone Economo,eKoeS,68,3131,506,381,9,40,Mon Apr 30 15:08:42 +0000 2007,http://www.lineheight.net/,en,Rome,"Rome, Italy",,,,http://a0.twimg.com/profile_images/1901298312/4028388403_e6fd6fb38b_o_bis_3c_normal.png,NULL,1,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/1901298312/4028388403_e6fd6fb38b_o_bis_3c_normal.png,FFFFFF,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,3600,,,BSc degree (cum laude) in Computer Engineering. @iuxcamp co-founder. @symphonycms lover and contributor.,2/14/2015 10:54,E13
5682702,tacone,tacone_,7696,4024,264,87,323,16,Tue May 01 11:53:40 +0000 2007,http://t.co/LKrl1dZE,en,Rome,Internets,,,,http://a0.twimg.com/profile_images/1640620850/anselmo_normal.png,https://si0.twimg.com/profile_banners/5682702/1349529251,1,https://si0.twimg.com/profile_background_images/181419780/goth-girl-black-pattern.jpg,666666,https://si0.twimg.com/profile_images/1640620850/anselmo_normal.png,181A1E,1,0,http://a0.twimg.com/profile_background_images/181419780/goth-girl-black-pattern.jpg,1A1B1F,2FC2EF,3600,,,Cogito ergo bestemmio.,2/14/2015 10:54,E13
6067292,alesaura,alesstar,202,40586,640,622,1118,32,Tue May 15 16:55:16 +0000 2007,http://alesstar.wordpress.com/,en,Rome,,,,1,http://a0.twimg.com/profile_images/2797534662/1dc1ac438aa8467defd3a0b90ca75cac_normal.jpeg,https://si0.twimg.com/profile_banners/6067292/1352056035,1,https://si0.twimg.com/images/themes/theme4/bg.gif,3C3940,https://si0.twimg.com/profile_images/2797534662/1dc1ac438aa8467defd3a0b90ca75cac_normal.jpeg,FFFFFF,,95E8EC,http://a0.twimg.com/images/themes/theme4/bg.gif,0099B9,0099B9,3600,,,"Se la vita ti dà sarde, scapocciale!",2/14/2015 10:54,E13
6015122,Angelo,PerDiletto,37318,2016,62,64,13,0,Sun May 13 19:52:00 +0000 2007,http://www.flickr.com/per_diletto,it,Rome,"iPhone: 44.069630,12.569966",,,1,http://a0.twimg.com/profile_images/1073412966/PerDiletto_normal.jpg,NULL,1,https://si0.twimg.com/images/themes/theme18/bg.gif,333333,https://si0.twimg.com/profile_images/1073412966/PerDiletto_normal.jpg,EEEEEE,,F6F6F6,http://a0.twimg.com/images/themes/theme18/bg.gif,ACDED6,38543,3600,,,Je me souviens,2/14/2015 10:54,E13
6140012,CRISTIAN PAOLINI,crispaol,3901,3603,138,179,53,1,Fri May 18 15:16:20 +0000 2007,,it,Rome,Rome,,,1,http://a0.twimg.com/profile_images/2292411750/bub6w5n2ndf2bubuqe5s_normal.jpeg,NULL,1,https://si0.twimg.com/profile_background_images/775219741/744c1990b547093354e232171cf4b55c.png,663B12,https://si0.twimg.com/profile_images/2292411750/bub6w5n2ndf2bubuqe5s_normal.jpeg,FFFFFF,1,DAECF4,http://a0.twimg.com/profile_background_images/775219741/744c1990b547093354e232171cf4b55c.png,C6E2EE,1F98C7,3600,,,"Swiper non rubare, Swiper non rubare!",2/14/2015 10:54,E13
6134312,tmpx,tmpx,4122,1183,128,168,2,5,Fri May 18 10:28:11 +0000 2007,,en,Rome,"Milano, Lombardia, Italia",,,1,http://a0.twimg.com/profile_images/654007381/io_normal.jpg,NULL,1,https://si0.twimg.com/images/themes/theme14/bg.gif,333333,https://si0.twimg.com/profile_images/654007381/io_normal.jpg,EEEEEE,1,EFEFEF,http://a0.twimg.com/images/themes/theme14/bg.gif,131516,9999,3600,,,I never saw a wild thing sorry for itself.A small bird will drop frozen dead from a boughWithout ever having felt sorry for itself.-- D.H. Lawrence,2/14/2015 10:54,E13
6684602,igor,Igor99,80,6194,1062,1770,597,5,Fri Jun 08 23:55:44 +0000 2007,,it,Rome,,,,1,http://a0.twimg.com/profile_images/2935875624/5b248b8c097468cc8a381494cf3a6229_normal.jpeg,NULL,1,https://si0.twimg.com/images/themes/theme18/bg.gif,333333,https://si0.twimg.com/profile_images/2935875624/5b248b8c097468cc8a381494cf3a6229_normal.jpeg,EEEEEE,,F6F6F6,http://a0.twimg.com/images/themes/theme18/bg.gif,ACDED6,38543,3600,,,La vita è quello che accade mentre sei impegnato a fare altro. ,2/14/2015 10:54,E13
7046912,Marco Massarotto,marcomassarotto,1825,10962,23368,958,590,715,Sun Jun 24 07:49:50 +0000 2007,http://marcomassarotto.com,en,Rome,"iPhone: 0.000000,0.000000",,,1,http://a0.twimg.com/profile_images/2626681114/image_normal.jpg,https://si0.twimg.com/profile_banners/7046912/1347980482,,https://si0.twimg.com/images/themes/theme1/bg.png,0,https://si0.twimg.com/profile_images/2626681114/image_normal.jpg,9E0C0C,,FFFFFF,http://a0.twimg.com/images/themes/theme1/bg.png,10147D,10147E,3600,,,Founder e CEO di http://hagakure.it e autore di http://internetpr.it,2/14/2015 10:54,E13
7470952,Antonio Parisi,personanormale,3115,10947,760,712,693,27,Sat Jul 14 13:31:20 +0000 2007,,it,Rome,Chioggia (VE),,,1,http://a0.twimg.com/profile_images/2736744286/b2abcce30eac7e105afa601b68b6cbdb_normal.jpeg,https://si0.twimg.com/profile_banners/7470952/1358687988,,https://si0.twimg.com/profile_background_images/621611165/xa631cd31d79c8f9343ceab795e515b0.png,E8E5E1,https://si0.twimg.com/profile_images/2736744286/b2abcce30eac7e105afa601b68b6cbdb_normal.jpeg,0,1,D8C8BE,http://a0.twimg.com/profile_background_images/621611165/xa631cd31d79c8f9343ceab795e515b0.png,131516,9999,3600,,,"Sono timido come Sushi, pigro come Dado e russo come Leo. Ho preso il meglio dai miei gatti. Faccio le fusa quando mangio.",2/14/2015 10:54,E13
